cell;%MilieuNaturel;%Agricole;%BatiResidentiel;%BatiCommercial
1889;12.36;0.66;80.64;6.11
2441;27.52;26.12;41.77;2.24
3819;33.3;4.57;59.93;2.21
1170;5.42;67.94;23.71;2.93
398;49.4;49.4;1.12;0.09
3705;0.89;91.9;2.49;4.73
3848;20.44;41.4;20.93;17.2
3977;1.61;83.54;7.2;7.66
3940;22.92;11.11;45.63;20.14
3503;6.69;65.31;10.76;17.25
4323;86.38;7.43;4.99;1.2
4144;44.07;54.03;1.38;0.52
3753;4.87;59.57;23.95;11.6
3894;0.77;82.84;11.06;5.33
4084;39.68;15.94;28.93;15.45
711;23.7;29.68;30.86;12.09
3094;34.82;12.9;41.25;10.57
1961;5.97;6.05;59.06;24.96
3608;3.58;11.23;63.09;22.06
2192;0.2;6.97;10.41;82.42
2401;30.54;26.1;34.41;8.94
2123;17.35;1.57;60.06;2.86
1642;12.85;12.71;13.82;4.24
1300;46.81;18.53;8.62;3.05
4128;82.37;3.53;13.64;0
4316;72.38;5.26;6.81;0.11
4261;83.62;5.45;8.98;0.23
3825;15.18;12.31;57.62;14.78
4164;99.89;0;0.11;0
4255;10.92;11.44;58.86;11.98
3829;14.92;66.55;7.85;8.08
2551;0.97;5.07;33.2;4.07
2619;2.18;47.02;19.36;5.19
2685;3.49;31.57;40.96;4.41
2690;0.26;5.33;70.63;23.78
2187;1.2;4.61;59.98;5.16
2835;80.21;4.07;14.12;1.6
2403;35.05;11.68;51.35;1.92
1809;58.86;17.99;16.35;5.16
4076;39.85;40.07;12.99;5.59
4100;2.27;0.2;0;47.35
2107;19.89;32.3;44.14;3.67
2259;24.08;26.91;23.7;25.31
2751;22.79;45.72;29.81;0.69
2568;8.7;5.58;76.18;9.53
3101;7.21;9.11;70.76;11.75
2266;49.31;23.52;15.79;0.63
2328;9.69;6.25;62.89;9.58
2331;5.54;9.5;81.15;3.79
2861;9.31;23.22;56.15;11.32
3104;3.93;60.54;23.37;12.1
3158;52.08;17.94;27.73;1.18
1979;23.37;6.81;52.97;16.84
1299;55.71;7.83;22.74;1.72
1081;7.05;86.42;3.52;0.26
1375;0;0;0;0
959;28.68;1.35;6.76;0.34
1018;23.09;15.87;19.21;24.53
1570;6.04;2.52;16.2;7.64
1230;34.44;2.75;7.88;0.52
1150;93.67;6.28;0.06;0
1366;8.65;3.47;82.38;5.5
1008;37.78;6.43;51.61;4.17
1145;27.67;7.89;41.39;23.05
941;9.4;43.01;35.5;12.09
1151;28.73;20.69;15.41;1.66
1226;10.95;6.08;66.77;16.2
942;11.3;74.28;5.53;8.86
570;97.04;2.9;0.06;0
1082;19.29;76.83;3.87;0
769;20.33;25.08;35.87;8.39
2246;4.27;5.93;73.89;15.91
1015;7.26;2.61;43.29;5.45
1225;87.13;4.9;3.53;2.21
1372;44.69;1.66;4.85;0
948;25.27;35.73;33.18;5.79
1217;35.06;3.73;30.91;30.3
1445;11.18;3.96;23.77;5.45
1365;5.64;3.81;59.57;7.39
1219;6.49;5.86;78.98;8.67
263;99.57;0.29;0.14;0
1149;63.7;11.18;21.24;3.87
1148;13.63;11.6;62.94;1.92
1895;43.86;1.52;6.45;1.64
2554;44.45;24.85;14.92;15.09
2260;5.25;2.09;86.93;5.73
2047;2.78;2.01;65.19;30.03
1975;2.95;2.09;83.08;11.88
2052;21.48;51.68;16.84;9.97
1973;10.91;4.61;58.53;25.29
2617;29.01;52.44;10.74;7.52
2122;2.12;3.44;86.95;7.48
