cell;Latitude;Longitude;PACO;CAEP;MODO;day;month;year
1889;45,517;-73,65;;0;0;25;05;2007
2441;45,633;-74,6;;0;0;01;05;2008
2441;45,633;-74,6;;1;1;04;10;2008
3819;46,117;-74,483;;0;0;05;06;2005
1170;45,35;-74,217;;0;4;27;02;2005
398;45,117;-74,35;;0;3;04;06;2006
3705;46,083;-73,35;;0;0;23;12;2007
3848;46,133;-73,517;;0;0;26;12;2007
3977;46,183;-73,133;;0;0;26;12;2007
3940;46,167;-73,433;;0;0;26;12;2007
3503;46,017;-73,467;;0;0;27;12;2007
4323;46,367;-73,35;;0;0;04;12;2007
4323;46,367;-73,35;;0;0;05;12;2007
4323;46,367;-73,35;;0;0;06;12;2007
4323;46,367;-73,35;;0;0;07;12;2007
4323;46,367;-73,35;;0;1;08;12;2007
4323;46,367;-73,35;;0;2;09;12;2007
4144;46,267;-73,383;;0;0;09;12;2007
3705;46,083;-73,35;;0;12;15;12;2007
3753;46,1;-73,433;;0;0;15;12;2007
3977;46,183;-73,133;;0;5;15;12;2007
3894;46,15;-73,233;;0;13;15;12;2007
4084;46,233;-73,533;;0;0;15;12;2007
711;45,233;-73,567;;0;0;19;01;2009
3094;45,85;-73,233;;0;0;26;04;2009
1961;45,533;-73,517;;0;0;23;03;2009
3608;46,05;-74,283;;0;0;01;03;2009
2192;45,583;-73,75;;2;12;23;03;2009
2192;45,583;-73,75;;10;15;30;03;2009
2192;45,583;-73,75;;0;0;05;12;2008
2192;45,583;-73,75;;0;12;14;12;2008
2192;45,583;-73,75;;0;6;19;12;2008
2192;45,583;-73,75;;0;0;29;12;2008
2192;45,583;-73,75;;0;2;01;01;2009
2192;45,583;-73,75;;0;0;20;01;2009
2192;45,583;-73,75;;0;0;23;01;2009
2192;45,583;-73,75;;0;0;28;01;2009
2192;45,583;-73,75;;0;0;05;02;2009
2192;45,583;-73,75;;0;0;06;02;2009
2192;45,583;-73,75;;0;2;09;02;2009
2192;45,583;-73,75;;0;0;26;02;2009
2192;45,583;-73,75;;0;0;02;03;2009
2192;45,583;-73,75;;0;0;13;03;2009
2192;45,583;-73,75;;0;2;22;03;2009
2192;45,583;-73,75;;0;0;28;03;2009
2192;45,583;-73,75;;0;6;31;03;2009
2192;45,583;-73,75;;0;0;14;12;2008
2192;45,583;-73,75;;0;0;24;12;2008
2192;45,583;-73,75;;0;2;29;12;2008
