"site","year","rayon","for_feuil","for_con","for_mix","for_pert","cult_ext","cult_int","GDApres","CRpres"
1,2007,10000,32.0074,13.1614,15.7097,0.4456,8.3111,2.5069,1,0
2,2007,10000,33.6243,12.938,16.594,0.4691,7.8269,1.9361,1,1
3,2007,10000,44.9432,9.9994,16.6007,0.6718,7.1003,0.9317,0,1
4,2007,10000,42.123,11.8762,17.6408,0.5451,8.9551,0.749,1,1
5,2007,10000,34.3116,13.3526,19.9361,0.607,12.219,0.4472,0,1
6,2007,10000,32.1815,14.0726,15.3048,0.7065,11.4129,0.2763,0,1
7,2007,10000,43.963,14.0596,16.2126,0.4942,8.3979,1.4815,0,1
8,2007,10000,40.1301,12.1392,18.0869,0.526,9.4033,1.6485,0,1
9,2007,10000,33.0766,16.4603,17.9196,0.563,11.8527,1.7903,0,0
10,2007,10000,28.158,6.8865,15.5503,1.1664,29.2596,8.0032,0,1
11,2007,10000,22.4026,12.3244,16.3358,0.7311,32.1956,5.2472,1,1
12,2007,10000,22.3984,12.8612,17.0384,0.6794,31.904,4.154,1,1
13,2007,10000,25.3523,15.6749,16.5429,0.4862,29.3052,3.4901,0,1
14,2007,10000,28.2627,17.6544,17.6792,0.4234,23.1214,2.368,1,0
15,2007,10000,32.7425,18.7623,16.776,0.4029,15.7005,1.929,1,1
16,2007,10000,26.5496,18.7633,19.3134,0.5121,21.4562,2.1699,0,1
17,2007,10000,24.1483,16.8283,21.2234,0.7098,24.0584,2.1902,1,1
18,2007,10000,24.8267,13.8583,22.584,0.7685,26.01,3.0261,0,1
19,2007,10000,29.3006,9.0725,22.9793,1.1766,25.0386,3.4843,0,1
20,2007,10000,29.5493,7.6819,18.9356,1.1024,27.1044,5.8158,0,1
21,2007,10000,21.8839,12.2449,15.8748,0.7542,30.5605,5.1889,1,1
22,2007,10000,25.2773,15.0599,17.4817,0.5364,24.5936,3.8189,0,1
23,2007,10000,30.7555,16.8836,17.8483,0.4444,21.9118,2.8155,1,1
24,2007,10000,32.6986,16.2793,15.9864,0.415,21.2234,2.3068,0,1
25,2007,10000,35.9625,16.0391,14.6415,0.3283,14.5661,1.9745,1,1
26,2007,10000,33.2467,14.926,14.0483,0.4807,22.315,2.3647,0,0
27,2007,10000,30.354,14.8946,14.1247,0.4954,25.6878,2.8344,1,0
