Longevity,Thorax,Sleep,Treatment
35,0.64,22,8 pregnant
37,0.68,9,8 pregnant
49,0.68,49,8 pregnant
46,0.72,1,8 pregnant
63,0.72,23,8 pregnant
39,0.76,83,8 pregnant
46,0.76,23,8 pregnant
56,0.76,15,8 pregnant
63,0.76,9,8 pregnant
65,0.76,81,8 pregnant
56,0.8,12,8 pregnant
65,0.8,15,8 pregnant
70,0.8,37,8 pregnant
63,0.84,24,8 pregnant
65,0.84,26,8 pregnant
70,0.84,17,8 pregnant
77,0.84,14,8 pregnant
81,0.84,14,8 pregnant
86,0.84,6,8 pregnant
70,0.88,25,8 pregnant
70,0.88,18,8 pregnant
77,0.92,26,8 pregnant
77,0.92,24,8 pregnant
81,0.92,29,8 pregnant
77,0.94,27,8 pregnant
40,0.64,18,none
37,0.7,6,none
44,0.72,19,none
47,0.72,7,none
47,0.72,16,none
47,0.76,13,none
68,0.78,35,none
47,0.8,2,none
54,0.84,35,none
61,0.84,6,none
71,0.84,15,none
75,0.84,14,none
89,0.84,18,none
58,0.88,50,none
59,0.88,25,none
62,0.88,10,none
79,0.88,33,none
96,0.88,43,none
58,0.92,35,none
62,0.92,17,none
70,0.92,27,none
72,0.92,22,none
75,0.92,16,none
96,0.92,20,none
75,0.94,37,none
46,0.64,23,1 pregnant
42,0.68,4,1 pregnant
65,0.72,20,1 pregnant
46,0.76,42,1 pregnant
58,0.76,9,1 pregnant
42,0.8,32,1 pregnant
48,0.8,66,1 pregnant
58,0.8,28,1 pregnant
50,0.82,10,1 pregnant
80,0.82,4,1 pregnant
63,0.84,12,1 pregnant
65,0.84,17,1 pregnant
70,0.84,12,1 pregnant
70,0.84,23,1 pregnant
72,0.84,40,1 pregnant
97,0.84,18,1 pregnant
46,0.88,10,1 pregnant
56,0.88,38,1 pregnant
70,0.88,7,1 pregnant
70,0.88,23,1 pregnant
72,0.88,36,1 pregnant
76,0.88,9,1 pregnant
90,0.88,21,1 pregnant
76,0.92,62,1 pregnant
92,0.92,36,1 pregnant
21,0.68,23,1 virgin
40,0.68,62,1 virgin
44,0.72,28,1 virgin
54,0.76,18,1 virgin
36,0.78,10,1 virgin
40,0.8,28,1 virgin
56,0.8,22,1 virgin
60,0.8,29,1 virgin
48,0.84,15,1 virgin
53,0.84,73,1 virgin
60,0.84,10,1 virgin
60,0.84,5,1 virgin
65,0.84,13,1 virgin
68,0.84,27,1 virgin
60,0.88,20,1 virgin
81,0.88,21,1 virgin
81,0.88,12,1 virgin
48,0.9,49,1 virgin
48,0.9,17,1 virgin
56,0.9,22,1 virgin
68,0.9,71,1 virgin
75,0.9,17,1 virgin
81,0.9,10,1 virgin
48,0.92,24,1 virgin
68,0.92,18,1 virgin
16,0.64,34,8 virgin
19,0.64,6,8 virgin
19,0.68,4,8 virgin
32,0.72,22,8 virgin
33,0.72,28,8 virgin
33,0.74,31,8 virgin
30,0.76,16,8 virgin
42,0.76,27,8 virgin
42,0.76,8,8 virgin
33,0.78,32,8 virgin
26,0.8,20,8 virgin
30,0.8,35,8 virgin
40,0.82,12,8 virgin
54,0.82,14,8 virgin
34,0.84,17,8 virgin
34,0.84,29,8 virgin
47,0.84,31,8 virgin
47,0.84,6,8 virgin
42,0.88,30,8 virgin
47,0.88,27,8 virgin
54,0.88,40,8 virgin
54,0.88,19,8 virgin
56,0.88,8,8 virgin
60,0.88,8,8 virgin
44,0.92,15,8 virgin
