"ferme","vis","abHOSP","int500","ext500","for500","eau500","supbat500","peribat500m","perim500km"
1,1,2,88.25438839,1.25824363,5.49131002,0.0533557,0.399197538,902.73986,0.90273986
2,1,4,0.490269668,53.73130785,33.84377449,0,0.751139219,1562.46887,1.56246887
3,1,0,6.19360907,39.75256646,42.4193062,2.33152988,0.439981125,1018.51441,1.01851441
4,1,0,4.30660593,77.47674818,12.72667348,0.0698056,0.549078229,1116.54792,1.11654792
5,1,0,0,30.74461691,60.56058195,0.03724422,0.27780715,819.92175,0.81992175
6,1,4,13.08274438,63.22034474,16.17788103,0.02149882,0.315817036,914.44459,0.91444459
7,1,18,46.1795854,32.15929714,14.04796846,0.2454738,0.260693131,651.06699,0.65106699
8,1,10,43.27769309,29.10147746,0,0,1.145560598,2174.18584,2.17418584
9,1,0,0,45.38514527,47.91234344,0.062852219,0.220980545,666.98345,0.66698345
10,1,14,94.38981948,2.21132418,0.17920843,0.81504147,0.036564552,94.75607,0.09475607
11,1,0,18.19218043,52.90332368,10.80574404,0,0.519480657,977.88957,0.97788957
12,1,0,0,75.08393387,17.72328571,3.36906851,0.1236432,313.44753,0.31344753
13,1,0,0,39.92018966,50.05158463,0.08107706,0.501344044,1148.92541,1.14892541
14,1,0,11.86800718,23.95637404,54.65073121,0.12318251,0.727762963,1486.89595,1.48689595
15,1,1,39.17627135,38.51277169,16.71884539,0.71369282,0.572379716,1153.97888,1.15397888
16,1,0,58.90892422,9.55139655,27.25071542,1.1810984,0.321528268,728.76838,0.72876838
17,1,6,52.26675976,14.74928534,4.87472617,1.67952361,1.868562739,3406.89728,3.40689728
18,1,0,34.13983549,37.06155607,23.2344895,0,0.312498693,949.76204,0.94976204
19,1,18,72.25594792,9.71753193,4.87206375,0.07846421,0.680431565,1802.62197,1.80262197
20,1,8,70.30161896,6.77060932,4.15749883,0.85291679,0.993966055,2241.61109,2.24161109
21,1,0,5.2664782,69.43029745,15.54738893,0,0.213599825,686.64419,0.68664419
22,1,2,0.00141115,85.57301301,8.6241525,0,0.406400389,1044.93724,1.04493724
23,1,1,40.8862285,30.73234489,20.74487723,0.0190749,0.42717492,1163.55704,1.16355704
24,1,3,70.53022275,20.30466696,1.284010002,0,0.37354088,1196.4428,1.1964428
25,1,1,81.72825358,9.33255424,0,0,0.787216953,2183.49449,2.18349449
26,1,0,60.90544668,21.97117062,5.95529722,3.84734105,0.445704815,1436.17283,1.43617283
27,1,8,46.43564006,28.5944739,14.64848403,0.80064423,0.748224736,1951.80694,1.95180694
28,1,3,35.75736266,52.28639312,1.97064652,0,0.457019741,1593.63472,1.59363472
29,1,5,62.7065306,19.27639923,12.62637566,0,0.591436975,1552.35095,1.55235095
30,1,7,53.84121128,29.39377535,10.13051857,0,0.413939939,1336.0776,1.3360776
31,1,4,71.75897927,15.26290849,1.93207984,1.69060192,0.606335222,1592.68175,1.59268175
32,1,2,88.02235966,11.2014771,0,0,0.02525354,107.85748,0.10785748
33,1,15,79.67302368,4.23567801,0,0.75695182,0.836498488,2656.51796,2.65651796
34,1,5,48.85007898,27.07861651,13.50444839,0,1.043240517,2168.85849,2.16885849
35,1,2,48.14723482,27.65143839,14.96511072,0,0.658404584,1720.09428,1.72009428
