"nbpoissons","nbcoraux","nbgrandscoraux","complexité","pente","site"
9,5,0,1,0,"S"
17,5,0,1,0,"S"
22,7,0,1,0,"S"
13,5,0,1,5,"S"
18,5,0,1,5,"S"
20,6,0,1,0,"S"
15,6,0,1,5,"S"
18,5,0,1,5,"S"
19,6,1,1,0,"S"
15,11,2,2,25,"S"
23,13,2,2,25,"S"
23,13,0,2,30,"S"
26,13,3,2,30,"S"
25,13,2,3,25,"S"
24,11,4,2,20,"S"
22,12,2,3,20,"S"
29,12,6,5,15,"S"
27,6,4,5,15,"S"
26,12,1,2,10,"S"
27,10,15,5,35,"S"
18,11,11,5,30,"S"
20,12,11,5,35,"S"
17,11,1,5,40,"S"
25,7,5,5,35,"S"
19,7,8,5,30,"S"
24,9,4,3,15,"S"
22,6,9,5,30,"S"
26,6,7,5,30,"S"
18,6,7,2,25,"S"
10,6,0,1,15,"S"
16,8,1,2,5,"S"
23,11,1,3,5,"S"
19,10,1,3,0,"S"
22,4,6,4,15,"S"
26,7,1,2,0,"S"
15,5,0,2,30,"S"
21,8,0,2,35,"S"
12,4,0,1,0,"S"
22,15,6,4,40,"S"
19,13,8,2,50,"S"
24,13,15,4,45,"S"
20,13,9,4,60,"S"
23,13,10,3,70,"S"
23,17,7,3,60,"S"
24,11,8,4,50,"S"
25,11,6,4,40,"S"
26,18,5,4,65,"S"
23,15,12,4,55,"S"
26,13,11,4,55,"S"
16,15,8,3,60,"S"
22,13,3,5,55,"S"
17,13,11,2,55,"S"
27,9,9,4,5,"S"
30,13,5,5,0,"S"
16,5,0,1,15,"S"
17,7,1,2,10,"S"
21,11,7,5,5,"S"
22,11,2,4,5,"S"
20,12,6,3,5,"S"
31,6,6,5,5,"S"
24,11,2,3,25,"S"
21,16,7,2,25,"S"
20,11,3,3,35,"S"
27,13,8,3,35,"S"
17,11,5,2,30,"S"
18,12,4,2,30,"S"
18,12,2,2,20,"S"
23,10,4,3,15,"S"
26,14,8,3,40,"S"
27,17,8,3,35,"S"
28,16,8,4,45,"S"
33,15,2,4,35,"S"
20,7,0,1,0,"S"
18,7,2,1,0,"S"
17,7,3,1,0,"S"
19,7,0,1,0,"S"
27,9,1,5,5,"S"
23,8,6,5,0,"S"
16,11,2,4,5,"S"
20,9,4,4,5,"S"
16,15,1,4,5,"S"
12,8,1,1,5,"S"
18,7,0,3,5,"S"
11,4,0,2,5,"S"
11,5,0,1,5,"S"
18,12,2,4,5,"S"
15,12,9,4,10,"S"
23,9,18,4,10,"S"
15,11,12,4,5,"S"
24,9,12,5,15,"S"
25,13,16,5,5,"S"
18,8,12,5,10,"S"
21,8,7,5,5,"S"
20,14,10,3,5,"S"
16,16,6,3,5,"S"
16,10,4,3,15,"S"
17,10,5,3,20,"S"
16,9,2,2,20,"S"
14,5,1,1,5,"S"
17,4,0,1,5,"S"
29,17,8,4,50,"B"
19,15,3,2,60,"B"
27,16,13,3,50,"B"
30,14,12,4,45,"B"
28,17,19,4,45,"B"
12,9,0,1,40,"B"
32,20,14,3,60,"B"
25,22,16,5,75,"B"
22,18,16,5,70,"B"
30,18,10,3,65,"B"
29,17,8,4,75,"B"
25,20,13,5,80,"B"
25,19,16,5,60,"B"
30,19,15,5,40,"B"
34,19,23,5,50,"B"
25,18,19,4,70,"B"
25,17,15,4,80,"B"
26,17,11,3,60,"B"
26,14,10,3,55,"B"
23,21,21,5,75,"B"
25,17,12,4,70,"B"
22,16,14,3,60,"B"
14,15,6,2,45,"B"
29,21,16,5,40,"B"
28,19,18,5,15,"B"
27,18,8,5,45,"B"
28,20,13,5,50,"B"
25,16,26,4,60,"B"
27,18,13,4,20,"B"
9,7,2,2,5,"B"
26,15,4,3,50,"B"
12,10,1,2,5,"B"
11,9,0,1,0,"B"
20,12,0,2,60,"B"
11,10,0,1,30,"B"
19,14,0,1,20,"B"
31,18,12,3,45,"B"
26,17,14,4,60,"B"
22,14,1,2,5,"B"
22,16,12,3,45,"B"
20,13,0,2,10,"B"
22,13,0,1,70,"B"
15,14,0,1,45,"B"
17,14,0,1,50,"B"
24,14,0,1,50,"B"
26,13,0,2,75,"B"
18,10,1,1,50,"B"
15,15,0,1,55,"B"
12,11,0,1,20,"B"
18,9,0,1,60,"B"
24,13,6,1,35,"B"
20,14,0,1,35,"B"
21,16,11,2,40,"B"
9,10,0,1,40,"B"
24,21,17,4,70,"B"
17,17,9,2,75,"B"
19,18,18,3,70,"B"
22,16,14,5,50,"B"
24,17,13,4,45,"B"
27,16,30,5,50,"B"
32,20,27,5,40,"B"
30,19,29,5,40,"B"
