"Sex" "wingcrd" "wt"
"m" 56.5 20.4
"f" 60.5 21.5
"m" 60 20.2
"m" 61 21.3
"f" 55 16.4
"f" 58 19.5
"f" 51.5 16.1
"m" 59 22
"f" 54 19
"m" 59 19.9
"m" 60 20.5
"m" 58 19.2
"m" 57 19.8
"f" 56 20.5
"m" 56 20.8
"f" 58.5 21.2
"m" 57 19.5
"f" 58 18.8
"m" 58 20.3
"f" 56 18.8
"m" 60 25
"m" 57.5 19.5
"m" 58 21.3
"f" 59 19.8
"m" 57 20.2
"m" 57 19.5
"m" 57 20.5
"m" 57 21
"m" 58 20.4
"m" 63.5 24.2
"f" 60 17.2
"f" 55 21.2
"f" 60 20.8
"f" 56 17
"m" 57 16.5
"m" 63.5 22.5
"f" 55.5 16.4
"m" 57 19,1
"f" 56.5 18.1
"m" 58 18.6
"m" 60 21.9
"f" 57 17.2
"f" 56.5 17.9
"f" 56 18.1
"f" 59 20.6
"m" 57 21
"m" 58 19.8
"f" 57 17.1
"m" 57 19.2
"m" 61 23.2
"f" 55 18.4
"f" 55 16.5
"f" 61 25.5
"m" 59 20.2
"m" 56.5 20
"f" 58.5 18
"f" 54 18.8
"m" 57 21.1
"f" 60 25.4
"m" 58 20.6
"f" 54 17.6
"f" 56.5 16
"f" 58 16.2
"f" 59.5 21.8
"m" 59.5 20
"m" 57.5 20
"m" 60.5 20.9
"m" 58 19.4
"f" 57 18.5
"m" 58 19.8
"m" 59.5 20
"f" 59 18.8
"m" 55.5 18
"f" 60 20.6
"m" 59 20
"m" 59.5 18.5
"f" 56 21.6
"f" 54 16.9
"f" 55 16.7
"f" 54 17
"m" 58.5 21
"f" 57 20
"f" 18.1
"m" 58.5 21.2
"f" 55 17.6
"m" 60 21.2
"f" 54 19
