Sex wingcrd wt
f 56.5 17.8
f 54 16
m 60 20.2
f 56.5 15.9
m 61.5 22.5
m 59.5 20.9
f 60 18.7
m 59 19.2
m 57.5 19.3
m 58.5 18.6
f 54.5 19.2
f 53.5 18.5
m 58 20.7
f 53.5 22
m 59 20.7
m 59 21.2
m 61 19.8
m 60.5 20.6
m 59 21.2
f 55 18.7
f 54 16.6
f 55 18.6
f 56.5 18.2
m 56.5 19.2
f 57.5 22
m 59 20,1
m 60 22.8
m 59 20.6
f 55 17.8
m 55 20.6
m 57 19.5
m 56 19.3
m 57 20
m 57 19.3
f 54 22
f 56 18.8
m 58.5 21.8
m 65 24.4
m 60 20.7
m 58 19.6
m 60 21.2
m 60 21.4
f 54.5 17.5
m 63.5 24.9
m 55 20.2
f 56.5 17.8
m 58 20
m 58 19.1
m 60 22
f 56 18.6
m 57.5 21.5
f 55.5 18.2
m 63.5 24.2
f 54.5 17.4
m 60 20.8
m 59 19.7
f 54 16.5
m 59 20.2
f 57 17.4
f 54.5 17.7
m 60 20.2
m 59 20.5
f 58 16.8
m 58 21
m 60 19.8
f 59 17.5
m 58 19.2
m 56 19.8
m 60 20.6
f 58 18.8
f 58 19.3
f 58 18.4
m 60 22
f 58 17.5
m 59 20.5
m 58.5 19.9
m 61.5 23
f 55 17.9
m 57 19.3
m 56 18.6
f 19
f 55.5 16
f 55.5 21.3
f 54 17.5
m 57 19.8
m 59 18.8
m 55 21.8
