Sex;wingcrd;wt
f;56;17.8
m;60;24.3
f;55;16.7
f;59;24.6
f;58;18.8
f;56.5;21.5
m;57;20
f;56.5;18.1
f;57;20.2
f;56;18.1
m;59;19.5
m;57.5;21.5
m;59;19.5
f;55;19.5
m;61;20.6
f;59.5;17.5
m;59;20.1
m;59;20.7
m;59;19.7
m;56;18.9
f;54.5;19.5
f;58;21.7
f;53.5;22
f;56;18.1
f;61;20.6
f;56.5;17.2
m;59;22
f;57;16
m;59;19.2
f;58;17.5
f;57;21.5
m;62;25.5
m;57;19.9
f;58;18
m;59.5;21.2
m;64;23,5
m;61;21
m;59.5;20.9
m;57.5;20
m;57;19.2
m;58;20.2
f;57;19
m;63;25.2
m;58;19.7
m;59;20.3
m;58;19.9
f;57;18.5
m;57;19.6
m;57.5;19.9
f;57.5;16.8
f;56;18.8
f;61;22.4
m;59;21.3
f;57;22.6
m;59.5;21.5
m;60;21.6
f;55;18
f;56;19.5
f;55;20.8
m;58.5;19.7
m;60;21.4
f;54;17.8
f;57;18.2
m;56;18.6
f;54;17.6
m;60;24.9
m;61;20.1
m;58.5;21.2
f;54.5;18
m;59.5;19.4
m;60;20.7
m;61;21.1
f;53;18.8
m;56.5;19.5
f;55;17.5
m;57;21
m;62;23
f;56.5;16
f;64;21.2
m;60;20
m;59.5;19.9
m;58;21.5
m;56;19.3
f;53.5;14.8
m;58;19.8
f;;16.4
m;59.5;21
