"nest","prov","firstegg","jul","year"
"1000172","ON","2002-05-30",150,2002
"1000189","QC","2002-06-12",163,2002
"100034","ON","1956-06-14",165,1956
"100035","ON","1956-06-23",174,1956
"100037","ON","1957-06-01",152,1957
"100038","ON","1958-06-07",158,1958
"100041","ON","1961-06-04",155,1961
"100042","ON","1962-05-29",149,1962
"100043","ON","1962-05-24",144,1962
"100044","ON","1962-05-31",151,1962
"100045","ON","1964-05-26",146,1964
"100046","ON","1965-05-28",148,1965
"100047","ON","1965-06-02",153,1965
"100048","ON","1965-06-02",153,1965
"100049","ON","1965-06-04",155,1965
"100050","ON","1965-07-04",185,1965
"100051","ON","1965-06-07",158,1965
"100052","ON","1965-06-14",165,1965
"100053","ON","1966-06-02",153,1966
"100055","ON","1967-06-04",155,1967
"100056","ON","1967-05-31",151,1967
"1000573","ON","2002-06-05",156,2002
"1000576","ON","2002-06-05",156,2002
"1000578","ON","2002-05-31",151,2002
"100060","ON","1968-06-07",158,1968
"100061","ON","1969-05-25",145,1969
"100063","ON","1971-06-03",154,1971
"100064","ON","1971-06-12",163,1971
"100065","ON","1972-06-24",175,1972
"100066","ON","1972-06-07",158,1972
"100067","ON","1973-05-25",145,1973
"100068","ON","1973-05-29",149,1973
"100069","ON","1973-06-05",156,1973
"100070","ON","1973-05-27",147,1973
"100071","ON","1974-06-01",152,1974
"100073","ON","1975-06-01",152,1975
"100075","ON","1975-05-29",149,1975
"100076","ON","1975-06-17",168,1975
"100078","ON","1977-06-13",164,1977
"1000781","ON","2001-06-05",156,2001
"1000783","ON","2001-05-30",150,2001
"1000785","ON","2001-05-28",148,2001
"1000786","ON","2001-06-05",156,2001
"100079","ON","1977-06-04",155,1977
"100080","ON","1982-05-25",145,1982
"100081","ON","1982-05-21",141,1982
"100082","ON","1982-05-25",145,1982
"100083","ON","1982-05-28",148,1982
"100084","ON","1982-06-26",177,1982
"100086","ON","1983-06-01",152,1983
"100087","ON","1983-05-29",149,1983
"100088","ON","1983-05-18",138,1983
"100090","ON","1983-06-04",155,1983
"1000909","ON","2001-06-04",155,2001
"100091","ON","1983-06-04",155,1983
"100092","ON","1985-05-16",136,1985
"100093","ON","1985-05-21",141,1985
"100094","ON","1985-05-22",142,1985
"100095","ON","1985-05-26",146,1985
"100096","ON","1985-05-28",148,1985
"100097","ON","1985-06-30",181,1985
"100098","ON","1985-05-23",143,1985
"100099","ON","1985-06-04",155,1985
"100100","ON","1985-05-29",149,1985
"100101","ON","1985-06-11",162,1985
"100102","ON","1985-05-30",150,1985
"100103","ON","1985-06-01",152,1985
"100104","ON","1987-05-22",142,1987
"100105","ON","1987-05-26",146,1987
"100106","ON","1987-05-17",137,1987
"100107","ON","1987-05-19",139,1987
"100108","ON","1989-05-28",148,1989
"100109","ON","1989-05-28",148,1989
"100110","ON","1990-05-28",148,1990
"100111","ON","1990-05-26",146,1990
"100112","ON","1990-05-22",142,1990
"100113","ON","1991-05-21",141,1991
"100114","ON","1992-05-25",145,1992
"100115","ON","1992-05-27",147,1992
"100125","ON","1955-06-05",156,1955
"100126","ON","1957-06-21",172,1957
"100127","ON","1957-06-13",164,1957
"100128","ON","1961-05-25",145,1961
"100129","ON","1962-05-21",141,1962
"100130","ON","1962-06-02",153,1962
"100131","ON","1962-05-27",147,1962
"1001319","ON","2001-05-11",131,2001
"100132","ON","1963-06-10",161,1963
"100133","ON","1968-06-07",158,1968
"100134","ON","1968-05-29",149,1968
"100135","ON","1969-05-21",141,1969
"100136","ON","1969-05-23",143,1969
"100137","ON","1974-06-23",174,1974
"100138","ON","1977-05-16",136,1977
"100139","ON","1979-05-24",144,1979
"100140","ON","1979-05-30",150,1979
"100141","ON","1981-05-26",146,1981
"100142","ON","1981-06-04",155,1981
"100143","ON","1981-06-18",169,1981
"100151","ON","1975-06-12",163,1975
"100152","ON","1976-06-22",173,1976
"100153","ON","1976-06-19",170,1976
"100154","ON","1977-06-12",163,1977
"100155","ON","1977-06-17",168,1977
"100156","ON","1977-06-25",176,1977
"100157","ON","1977-06-03",154,1977
"100159","ON","1978-05-31",151,1978
"100160","ON","1978-06-02",153,1978
"100161","ON","1978-05-29",149,1978
"100162","ON","1978-06-11",162,1978
"100163","ON","1978-06-05",156,1978
"100164","ON","1978-05-20",140,1978
"100165","ON","1978-06-04",155,1978
"100166","ON","1978-06-18",169,1978
"100167","ON","1979-06-05",156,1979
"100168","ON","1979-06-07",158,1979
"100171","ON","1982-06-07",158,1982
"100172","ON","1982-05-28",148,1982
"100173","ON","1988-06-10",161,1988
"100174","ON","1988-06-10",161,1988
"100185","ON","1950-06-19",170,1950
"1001854","ON","2001-05-27",147,2001
"1001855","ON","2001-06-05",156,2001
"1001856","ON","2001-06-09",160,2001
"100187","ON","1963-05-31",151,1963
"100188","ON","1966-06-14",165,1966
"100189","ON","1966-06-13",164,1966
"100190","ON","1966-05-31",151,1966
"100191","ON","1959-06-04",155,1959
"100192","ON","1967-06-03",154,1967
"100193","ON","1967-06-06",157,1967
"100195","ON","1975-06-01",152,1975
"1001954","ON","2001-05-08",128,2001
"100196","ON","1976-05-22",142,1976
"100197","ON","1976-06-04",155,1976
"100200","ON","1977-06-09",160,1977
"100201","ON","1979-05-31",151,1979
"100202","ON","1982-06-09",160,1982
"100203","ON","1990-06-06",157,1990
"100205","ON","1971-06-01",152,1971
"100206","ON","1971-05-27",147,1971
"100207","ON","1975-05-21",141,1975
"100208","ON","1975-05-23",143,1975
"100212","ON","1980-05-28",148,1980
"100215","ON","1956-06-08",159,1956
"100217","ON","1961-06-05",156,1961
"100218","ON","1961-05-28",148,1961
"100219","ON","1964-05-31",151,1964
"100220","ON","1964-06-06",157,1964
"100221","ON","1964-05-20",140,1964
"100222","ON","1967-06-19",170,1967
"100223","ON","1968-06-04",155,1968
"100224","ON","1969-05-24",144,1969
"100225","ON","1969-06-10",161,1969
"100226","ON","1969-05-28",148,1969
"100227","ON","1969-05-19",139,1969
"100228","ON","1972-06-02",153,1972
"100229","ON","1974-06-02",153,1974
"100230","ON","1975-06-05",156,1975
"100231","ON","1978-06-11",162,1978
"100232","ON","1979-05-19",139,1979
"100233","ON","1980-06-18",169,1980
"100234","ON","1981-05-30",150,1981
"100235","ON","1982-05-23",143,1982
"100236","ON","1982-05-29",149,1982
"100237","ON","1983-06-03",154,1983
"100238","ON","1983-06-09",160,1983
"100239","ON","1983-06-02",153,1983
"100240","ON","1963-05-27",147,1963
"100242","ON","1964-06-09",160,1964
"100243","ON","1964-06-06",157,1964
"1002430","ON","2001-05-12",132,2001
"100245","ON","1977-06-06",157,1977
"100246","ON","1977-05-31",151,1977
"100247","ON","1977-06-07",158,1977
"100248","ON","1977-07-03",184,1977
"100249","ON","1978-06-01",152,1978
"100250","ON","1978-06-17",168,1978
"100251","ON","1978-06-01",152,1978
"100252","ON","1978-05-29",149,1978
"100253","ON","1978-05-30",150,1978
"100254","ON","1978-06-10",161,1978
"100255","ON","1978-06-04",155,1978
"100256","ON","1978-06-07",158,1978
"100257","ON","1978-06-06",157,1978
"100258","ON","1978-06-03",154,1978
"100260","ON","1979-05-28",148,1979
"100261","ON","1979-05-24",144,1979
"100262","ON","1979-06-04",155,1979
"100263","ON","1979-06-02",153,1979
"100264","ON","1979-06-01",152,1979
"100265","ON","1979-07-01",182,1979
"100266","ON","1979-06-22",173,1979
"100267","ON","1979-06-24",175,1979
"100268","ON","1979-05-28",148,1979
"100269","ON","1979-05-26",146,1979
"100270","ON","1979-06-06",157,1979
"100271","ON","1979-05-29",149,1979
"100272","ON","1979-05-23",143,1979
"100274","ON","1979-06-04",155,1979
"100275","ON","1979-05-27",147,1979
"100276","ON","1979-05-27",147,1979
"100277","ON","1979-05-18",138,1979
"100278","ON","1979-05-25",145,1979
"100279","ON","1979-06-15",166,1979
"100280","ON","1979-06-08",159,1979
"100281","ON","1979-05-22",142,1979
"100282","ON","1979-06-12",163,1979
"100283","ON","1979-06-15",166,1979
"100284","ON","1979-05-31",151,1979
"100286","ON","1979-06-12",163,1979
"100287","ON","1979-06-22",173,1979
"100288","ON","1979-06-26",177,1979
"100289","ON","1979-06-07",158,1979
"100292","ON","1980-06-04",155,1980
"100293","ON","1980-06-21",172,1980
"100294","ON","1980-06-01",152,1980
"100295","ON","1980-05-31",151,1980
"100296","ON","1980-06-01",152,1980
"100297","ON","1980-06-15",166,1980
"100298","ON","1980-06-15",166,1980
"100299","ON","1980-06-22",173,1980
"100301","ON","1980-05-27",147,1980
"100303","ON","1980-07-04",185,1980
"100306","ON","1980-05-23",143,1980
"100307","ON","1980-06-02",153,1980
"100308","ON","1980-06-01",152,1980
"100310","ON","1985-05-16",136,1985
"100311","ON","1993-05-24",144,1993
"100312","ON","1994-06-13",164,1994
"100313","ON","1974-06-13",164,1974
"100314","ON","1975-05-26",146,1975
"100315","ON","1976-06-10",161,1976
"100316","ON","1977-06-09",160,1977
"100317","ON","1977-06-06",157,1977
"100318","ON","1977-05-26",146,1977
"100319","ON","1977-05-25",145,1977
"100321","ON","1978-06-10",161,1978
"100322","ON","1978-06-09",160,1978
"100323","ON","1979-06-08",159,1979
"100325","ON","1987-05-26",146,1987
"100326","ON","1987-06-07",158,1987
"100327","ON","1963-05-30",150,1963
"100403","ON","1955-05-21",141,1955
"100404","ON","1955-05-27",147,1955
"100405","ON","1956-06-09",160,1956
"100406","ON","1966-05-22",142,1966
"100407","ON","1966-05-30",150,1966
"100408","ON","1967-06-19",170,1967
"100409","ON","1967-06-19",170,1967
"100411","ON","1970-05-31",151,1970
"100412","ON","1970-05-20",140,1970
"100413","ON","1971-06-03",154,1971
"100414","ON","1971-05-26",146,1971
"100415","ON","1971-05-25",145,1971
"100416","ON","1971-05-27",147,1971
"100417","ON","1971-05-27",147,1971
"100418","ON","1971-05-26",146,1971
"100419","ON","1971-05-26",146,1971
"100420","ON","1971-05-26",146,1971
"100421","ON","1971-05-26",146,1971
"100422","ON","1971-05-27",147,1971
"100423","ON","1971-06-04",155,1971
"100424","ON","1971-06-02",153,1971
"100425","ON","1971-05-16",136,1971
"100426","ON","1971-05-26",146,1971
"100427","ON","1971-05-16",136,1971
"100428","ON","1971-05-23",143,1971
"100429","ON","1971-05-24",144,1971
"100430","ON","1971-05-23",143,1971
"100432","ON","1975-06-04",155,1975
"100433","ON","1975-05-22",142,1975
"100435","ON","1977-05-29",149,1977
"100436","ON","1977-05-19",139,1977
"100437","ON","1977-06-11",162,1977
"100438","ON","1979-05-22",142,1979
"100440","ON","1979-06-12",163,1979
"100441","ON","1980-06-04",155,1980
"100442","ON","1980-05-31",151,1980
"100443","ON","1980-06-04",155,1980
